word1,word2,pos
Anglican,Nonconformist,n
Anglophilia,Anglophobia,n
Anglophobia,Anglophilia,n
Arabic_numeral,Roman_numeral,n
Arianism,Athanasianism,n
Athanasianism,Arianism,n
CISC,RISC,n
Cryptogamia,Phanerogamae,n
Heaven,Hell,n
Hell,Heaven,n
Lady,Lord,n
Lord,Lady,n
Nonconformist,Anglican,n
Phanerogamae,Cryptogamia,n
RISC,CISC,n
Roman_numeral,Arabic_numeral,n
Romanticism,classicism,n
a_la_carte,table_d'hote,a
a_posteriori,a_priori,a
a_posteriori,a_priori,r
a_priori,a_posteriori,a
a_priori,a_posteriori,r
abactinal,actinal,a
abaxial,adaxial,a
abaxially,adaxially,r
abducent,adducent,a
abduct,adduct,v
abience,adience,n
abient,adient,a
ability,inability,n
able,unable,a
abnormal,normal,a
abnormality,normality,n
abolish,establish,v
aborad,orad,r
aboral,oral,a
above,below,r
abranchiate,branchiate,a
abridged,unabridged,a
abruptness,gradualness,n
absence,presence,n
absent,present,a
absolute,relative,a
absolve,blame,v
absorb,emit,v
absorbable,adsorbable,a
absorbency,nonabsorbency,n
absorbent,nonabsorbent,a
abstain,consume,v
abstemious,gluttonous,a
abstract,concrete,a
abstractly,concretely,r
abstractness,concreteness,n
abundance,scarcity,n
abundant,scarce,a
abused,unabused,a
acarpelous,carpellate,a
acatalectic,catalectic,a
acatalectic,hypercatalectic,a
acaudate,caudate,a
acaulescent,caulescent,a
accelerate,decelerate,v
acceleration,deceleration,n
accentual,quantitative,a
accentual,syllabic,a
accept,refuse,v
accept,reject,v
acceptability,unacceptability,n
acceptable,unacceptable,a
acceptably,unacceptably,r
acceptance,rejection,n
acceptive,rejective,a
accessibility,inaccessibility,n
accessible,inaccessible,a
accidentally,deliberately,r
accommodating,unaccommodating,a
accompanied,unaccompanied,a
accordant,discordant,a
accrual_basis,cash_basis,n
accuracy,inaccuracy,n
accurate,inaccurate,a
accurately,inaccurately,r
accusatorial,inquisitorial,a
accustomed,unaccustomed,a
achiever,loser,n
achlamydeous,chlamydeous,a
achondritic,chondritic,a
achromatic,chromatic,a
achromatic_color,chromatic_color,n
achromatinic,chromatinic,a
acid-loving,alkaline-loving,a
acidic,alkaline,a
acidic,amphoteric,a
acidify,alkalize,v
acidity,alkalinity,n
acknowledged,unacknowledged,a
acquaintance,stranger,n
acquisitive,unacquisitive,a
acquit,convict,v
acquittal,conviction,n
acrocarp,pleurocarp,n
acrocarpous,pleurocarpous,a
acropetal,basipetal,a
acroscopic,basiscopic,a
act,refrain,v
actable,unactable,a
actinal,abactinal,a
actinomorphic,zygomorphic,a
action,inaction,n
activate,inactivate,v
activation,deactivation,n
activation,inactivation,n
activator,inhibitor,n
active,dormant,a
active,extinct,a
active,inactive,a
active,passive,a
active,quiet,a
active,stative,a
active_trust,passive_trust,n
active_voice,passive_voice,n
actively,passively,r
activeness,inactiveness,n
activity,inactivity,n
actual,potential,a
actual_sin,original_sin,n
acute,chronic,a
acute,obtuse,a
acutely,chronically,r
acuteness,obtuseness,n
acyclic,cyclic,a
adaptability,unadaptability,n
adaptable,unadaptable,a
adaptive,maladaptive,a
adaxial,abaxial,a
adaxially,abaxially,r
add,subtract,v
add,take_away,v
addicted,unaddicted,a
addictive,nonaddictive,a
addition,subtraction,n
additive,subtractive,a
addressed,unaddressed,a
adducent,abducent,a
adduct,abduct,v
adequacy,inadequacy,n
adequate,inadequate,a
adequately,inadequately,r
adhesive,nonadhesive,a
adiabatic,diabatic,a
adience,abience,n
adient,abient,a
adjective,substantive,a
adjusted,maladjusted,a
adjusted,unadjusted,a
admire,look_down_on,v
admissibility,inadmissibility,n
admissible,inadmissible,a
admit,deny,v
admit,exclude,v
admit,reject,v
adnate,connate,a
adoptable,unadoptable,a
adopted,native,a
adoptive,biological,a
adorned,unadorned,a
adroit,maladroit,a
adroitly,maladroitly,r
adscript,subscript,a
adscript,superscript,a
adsorbable,absorbable,a
adsorbent,nonadsorbent,a
adult,juvenile,n
adulterating,purifying,a
advance,back,v
advance,recede,v
advance,retreat,n
advantage,disadvantage,n
advantage,disadvantage,v
advantageous,disadvantageous,a
advantageously,disadvantageously,r
adventurous,unadventurous,a
advertently,inadvertently,r
advisability,inadvisability,n
advisable,inadvisable,a
aerobic,anaerobic,a
aesthetic,inaesthetic,a
aestivate,hibernate,v
afebrile,febrile,a
affected,unaffected,a
affectedness,unaffectedness,n
afferent,efferent,a
affinity,consanguinity,n
affirm,negate,v
affirmation,reversal,n
affirmative,negative,a
affirmative,negative,n
affixed,unaffixed,a
afloat,aground,a
afraid,unafraid,a
aft,fore,a
aft,fore,r
age,rejuvenate,v
aged,young,n
aggrade,degrade,v
aggressive,unaggressive,a
agitate,calm,v
agitated,unagitated,a
agitation,calmness,n
agnostic,gnostic,a
agonist,antagonist,n
agree,disagree,v
agreeable,disagreeable,a
agreeableness,disagreeableness,n
agreeably,disagreeably,r
agreement,disagreement,n
aground,afloat,a
ahead,back,r
ahistorical,historical,a
air-to-air,air-to-surface,a
air-to-air,surface-to-air,a
air-to-surface,air-to-air,a
air-to-surface,surface-to-air,a
air_mail,surface_mail,n
airworthy,unairworthy,a
alarming,unalarming,a
alcoholic,nonalcoholic,a
alert,unalert,a
algorithmic,heuristic,a
alienable,inalienable,a
align,skew,v
aligned,nonaligned,a
alignment,nonalignment,n
alike,unalike,a
aliquant,aliquot,n
aliquot,aliquant,n
alive,dead,a
alkaline,acidic,a
alkaline,amphoteric,a
alkaline-loving,acid-loving,a
alkalinity,acidity,n
alkalize,acidify,v
all,no,a
all,some,a
allochthonous,autochthonous,a
allogamy,autogamy,n
allogeneic,xenogeneic,a
allopathic,homeopathic,a
allopathy,homeopathy,n
allopatric,sympatric,a
allopatry,sympatry,n
allow,deny,v
allow,disallow,v
alphabetic,analphabetic,a
alterability,unalterability,n
alterable,unalterable,a
altered,unaltered,a
alternate,opposite,a
alternating,direct,a
alternating_current,direct_current,n
altricial,precocial,a
altruism,egoism,n
altruistic,egoistic,a
amateur,professional,n
amateurishly,expertly,r
ambidextrous,left-handed,a
ambidextrous,right-handed,a
ambiguity,unambiguity,n
ambiguous,unambiguous,a
ambiguously,unambiguously,r
ambitious,unambitious,a
ambitiously,unambitiously,r
ambiversion,extraversion,n
ambiversion,introversion,n
ambiversive,extroversive,a
ambiversive,introversive,a
amended,unamended,a
ametabolic,metabolic,a
ametropic,emmetropic,a
amicable,hostile,a
amphibious,aquatic,a
amphibious,terrestrial,a
amphitropous,anatropous,a
amphoteric,acidic,a
amphoteric,alkaline,a
ample,meager,a
amply,meagerly,r
anabatic,katabatic,a
anabolic,catabolic,a
anabolism,catabolism,n
anaclinal,cataclinal,a
anadromous,catadromous,a
anadromous,diadromous,a
anaerobic,aerobic,a
anal,oral,a
analogous,heterologous,a
analogous,homologous,a
analogue,digital,a
analphabetic,alphabetic,a
analysis,synthesis,n
analytic,synthetic,a
analyze,synthesize,v
analyzed,unanalyzed,a
anamorphism,katamorphism,n
anaphrodisia,aphrodisia,n
anaphrodisiac,aphrodisiac,a
anapsid,diapsid,n
anastalsis,peristalsis,n
anastigmatic,astigmatic,a
anatropous,amphitropous,a
ancestor,descendant,n
androgynous,female,a
androgynous,male,a
anemophilous,entomophilous,a
anesthetize,bring_to,v
anestrous,estrous,a
anestrus,estrus,n
angry,unangry,a
angular,rounded,a
angularity,roundness,n
anhydrous,hydrous,a
animate,inanimate,a
animated,unanimated,a
animateness,inanimateness,n
anionic,cationic,a
anisotropic,isotropic,a
anisotropy,isotropy,n
annual,biennial,a
annual,perennial,a
anode,cathode,n
anodic,cathodic,a
anonymous,onymous,a
anovulation,ovulation,n
answer,question,n
antagonist,agonist,n
antagonist,synergist,n
antagonistic,conciliatory,a
antagonistic,synergistic,a
antapex,apex,n
antecedent,subsequent,a
antemeridian,postmeridian,a
antemortem,postmortem,a
anterior,posterior,a
anteriority,posteriority,n
anterograde,retrograde,a
anti,pro,a
anti-American,pro-American,a
anticatalyst,catalyst,n
anticholinergic,cholinergic,a
anticlimactic,climactic,a
anticlinal,synclinal,a
anticyclone,cyclone,n
antimagnetic,magnetic,a
antinode,node,n
antipyretic,pyretic,a
antiseptic,septic,a
antitype,type,n
antonym,synonym,n
antonymous,synonymous,a
antrorse,retrorse,a
aperiodic,periodic,a
apetalous,petalous,a
apex,antapex,n
aphelion,perihelion,n
aphrodisia,anaphrodisia,n
aphrodisiac,anaphrodisiac,a
aplacental,placental,a
apoapsis,periapsis,n
apocarpous,syncarpous,a
apocrine,eccrine,a
apogee,perigee,n
apojove,perijove,n
apologetic,unapologetic,a
apolune,perilune,n
apophatism,cataphatism,n
apophatism,doctrine_of_analogy,n
aposelene,periselene,n
appealable,unappealable,a
appealing,unappealing,a
appealingly,unappealingly,r
appear,disappear,v
appearance,disappearance,n
appendaged,unappendaged,a
appetizing,unappetizing,a
appetizingness,unappetizingness,n
applaud,boo,v
applicability,inapplicability,n
applied,theoretical,a
appointive,elective,a
appositeness,inappositeness,n
appreciate,depreciate,v
appreciation,depreciation,n
appreciatively,unappreciatively,r
approachability,unapproachability,n
approachable,unapproachable,a
approbate,reprobate,v
approbation,disapprobation,n
